game_id,date,oponent,w/l,w-l
0,1900-04-05,CLE,W,1-0
1,1900-04-06,CLE,L,1-1
2,1900-04-08,TOR,W,2-1
3,1900-04-09,TOR,W,3-1
4,1900-04-10,TOR,L,3-2
5,1900-04-11,BAL,L,3-3
6,1900-04-12,BAL,L,3-4
7,1900-04-13,BAL,W,4-4
8,1900-04-15,TOR,W,5-4
9,1900-04-16,TOR,W,6-4
10,1900-04-17,TOR,L,6-5
11,1900-04-18,TOR,L,6-6
12,1900-04-19,TBR,L,6-7
13,1900-04-20,TBR,W,7-7
14,1900-04-21,TBR,L,7-8
15,1900-04-22,HOU,W,8-8
16,1900-04-23,HOU,L,8-9
17,1900-04-24,HOU,W,9-9
18,1900-04-25,ATL,W,10-9
19,1900-04-26,ATL,W,11-9
20,1900-04-27,ATL,W,12-9
21,1900-04-28,ATL,L,12-10
22,1900-04-29,NYY,W,13-10
23,1900-04-30,NYY,W,14-10
25,1900-05-01,NYY,W,15-10
26,1900-05-03,CHW,L,15-11
27,1900-05-04,CHW,W,16-11
28,1900-05-05,CHW,W,17-11
29,1900-05-06,NYY,L,17-12
30,1900-05-07,NYY,L,17-13
31,1900-05-08,NYY,W,18-13
32,1900-05-09,OAK,W,19-13
33,1900-05-10,OAK,W,20-13
34,1900-05-11,OAK,W,21-13
35,1900-05-12,HOU,W,22-13
36,1900-05-13,HOU,L,22-14
37,1900-05-14,HOU,W-wo,23-14
38,1900-05-15,HOU,W,24-14
39,1900-05-17,KCR,L,24-15
40,1900-05-18,KCR,L,24-16
41,1900-05-18,KCR,W,25-16
42,1900-05-20,CLE,L,25-17
43,1900-05-21,CLE,W,26-17
44,1900-05-22,CLE,W,27-17
45,1900-05-24,COL,W,28-17
46,1900-05-25,COL,W,29-17
47,1900-05-26,COL,L,29-18
48,1900-05-27,TOR,L,29-19
49,1900-05-28,TOR,L-wo,29-20
50,1900-05-29,TOR,W,30-20
51,1900-05-30,BAL,W,31-20
52,1900-05-31,BAL,W,32-20
54,1900-06-01,BAL,L,32-21
55,1900-06-02,BAL,L,32-22
56,1900-06-03,TOR,L,32-23
57,1900-06-04,TOR,W,33-23
58,1900-06-05,TOR,L,33-24
59,1900-06-07,SFG,W,34-24
60,1900-06-08,SFG,L,34-25
61,1900-06-10,MIN,W,35-25
62,1900-06-11,MIN,W,36-25
63,1900-06-12,MIN,L-wo,36-26
64,1900-06-14,BAL,L,36-27
65,1900-06-15,BAL,W,37-27
66,1900-06-16,BAL,L,37-28
67,1900-06-17,SEA,L,37-29
68,1900-06-18,SEA,W,38-29
69,1900-06-19,SEA,W,39-29
70,1900-06-20,CHW,L,39-30
71,1900-06-21,CHW,L,39-31
72,1900-06-22,CHW,L,39-32
73,1900-06-23,CHW,W-wo,40-32
74,1900-06-24,TEX,W,41-32
75,1900-06-25,TEX,L,41-33
76,1900-06-26,TEX,L,41-34
77,1900-06-27,TBR,L,41-35
78,1900-06-28,TBR,W,42-35
79,1900-06-29,TBR,L,42-36
81,1900-07-01,LAA,W,43-36
82,1900-07-02,LAA,L,43-37
83,1900-07-03,LAA,W,44-37
84,1900-07-04,TEX,W,45-37
85,1900-07-05,TEX,L,45-38
86,1900-07-06,TEX,W,46-38
87,1900-07-08,TBR,W,47-38
88,1900-07-09,TBR,W,48-38
89,1900-07-10,TBR,W,49-38
90,1900-07-15,NYY,W,50-38
91,1900-07-16,NYY,W,51-38
92,1900-07-17,NYY,L,51-39
93,1900-07-19,SFG,W,52-39
94,1900-07-20,SFG,W,53-39
95,1900-07-21,MIN,W,54-39
96,1900-07-22,MIN,L,54-40
97,1900-07-23,MIN,L,54-41
98,1900-07-24,MIN,W,55-41
99,1900-07-25,DET,L,55-42
100,1900-07-26,DET,L,55-43
101,1900-07-27,DET,L,55-44
102,1900-07-28,LAA,L-wo,55-45
103,1900-07-29,LAA,W,56-45
104,1900-07-30,LAA,L,56-46
105,1900-07-31,LAA,W,57-46
107,1900-08-01,SEA,W,58-46
108,1900-08-02,SEA,L,58-47
109,1900-08-03,SEA,L,58-48
110,1900-08-04,SEA,W,59-48
111,1900-08-05,LAD,W,60-48
112,1900-08-06,LAD,L,60-49
113,1900-08-07,LAD,L,60-50
114,1900-08-09,NYY,W,61-50
115,1900-08-10,NYY,L,61-51
116,1900-08-11,NYY,L,61-52
117,1900-08-12,ARI,W,62-52
118,1900-08-13,ARI,W,63-52
119,1900-08-14,ARI,W,64-52
120,1900-08-15,CLE,W,65-52
121,1900-08-16,BAL,W,66-52
122,1900-08-17,BAL,W,67-52
123,1900-08-18,DET,L,67-53
124,1900-08-19,DET,W,68-53
125,1900-08-20,DET,W,69-53
126,1900-08-21,DET,L,69-54
127,1900-08-22,TBR,W,70-54
128,1900-08-23,TBR,W,71-54
129,1900-08-24,TBR,L-wo,71-55
130,1900-08-25,TBR,L,71-56
131,1900-08-26,KCR,L,71-57
132,1900-08-27,KCR,W,72-57
133,1900-08-28,KCR,L,72-58
134,1900-08-29,TBR,W,73-58
135,1900-08-30,TBR,L,73-59
136,1900-08-31,TBR,W,74-59
138,1900-09-02,OAK,W,75-59
139,1900-09-03,OAK,W,76-59
140,1900-09-04,OAK,L-wo,76-60
141,1900-09-05,SDP,L,76-61
142,1900-09-06,SDP,W,77-61
143,1900-09-07,SDP,W,78-61
144,1900-09-09,TOR,W,79-61
145,1900-09-10,TOR,L,79-62
146,1900-09-11,TOR,W,80-62
147,1900-09-12,BAL,W,81-62
148,1900-09-13,BAL,L,81-63
149,1900-09-14,BAL,L,81-64
150,1900-09-15,NYY,W-wo,82-64
151,1900-09-16,NYY,W,83-64
152,1900-09-17,NYY,W,84-64
153,1900-09-18,NYY,W,85-64
154,1900-09-19,BAL,W,86-64
155,1900-09-20,BAL,W,87-64
156,1900-09-21,BAL,W,88-64
157,1900-09-22,BAL,W,89-64
158,1900-09-23,TBR,W,90-64
159,1900-09-24,TBR,W,91-64
160,1900-09-25,TBR,W,92-64
161,1900-09-27,NYY,L,92-65
162,1900-09-28,NYY,L-wo,92-66
163,1900-09-29,NYY,L,92-67
164,1900-09-30,TOR,W,93-67
166,1900-10-01,TOR,L,93-68
167,1900-10-02,TOR,L,93-69
